author;title;description;image;year;chapters;genre;status;score;link
Kindhearted Bee;Martial God Asura;null;https://img.mangaschan.com/uploads/manga-images/m/martial-god-asura/thumbnail.jpg;null;null;null;null;null;https://mangaschan.net/manga/martial-god-asura/
Màn tú de zhū;Absolute Necromancer;null;https://img.mangaschan.com/uploads/manga-images/a/absolute-necromancer/thumbnail.webp;null;null;null;null;null;https://mangaschan.net/manga/absolute-necromancer/
SunWoon;Boundless Necromancer;null;https://img.mangaschan.com/uploads/manga-images/b/boundless-necromancer/thumbnail.jpg;null;null;null;null;null;https://mangaschan.net/manga/boundless-necromancer/
desconhecido;Teenage Mercenary;null;https://cover.nexoscans.com/wp-content/uploads/2022/10/Mercenario-e1666733632894.jpg;null;null;null;null;null;https://nexoscans.net/manga/contrat-1_31_3_63-o-de-mercenario/
Tian Can Tu Dou;Doupo Cangqiong;null;https://img.mangaschan.com/uploads/manga-images/d/doupo-cangqiong/thumbnail.jpg;null;null;null;null;null;https://mangaschan.net/manga/doupo-cangqiong/
Fēihóng zhī yè;Evolution Begins With a Big Tree;null;https://img.mangaschan.com/uploads/manga-images/c/cong-da-shu-kaishi-de-jinhua-evolution-begins-with-a-big-tree/thumbnail.webp;null;null;null;null;null;https://mangaschan.net/manga/evolution-begins-with-a-big-tree/
Hiroya Oku;Gantz;null;https://img.lermanga.org/G/gantz/capa.jpg;null;null;null;null;null;https://lermanga.org/mangas/gantz/
Hiroya Oku;Gantz:E;null;https://img.mangaschan.com/uploads/manga-images/g/gantze/thumbnail.jpg;null;null;null;null;null;https://mangaschan.net/manga/gantze/
YU Jinseong;Gwangmahoegwi – The Return of the Crazy Demon;null;https://img.mangaschan.com/uploads/manga-images/g/gwangmahoegwi-the-return-of-the-crazy-demon/thumbnail.webp;null;null;null;null;null;https://mangaschan.net/manga/gwangmahoegwi-the-return-of-the-crazy-demon/
Redice Studio;Heavenly Inquisition Sword;null;https://img.lermanga.org/H/heavenly-inquisition-sword/capa.jpg;null;null;null;null;null;https://lermanga.org/mangas/heavenly-inquisition-sword/
